company,year,is_financial,sector,revenue,operating_profit,net_income,total_assets,total_liabilities,equity,cash
기아,2024,0,,107448752000000.0,12667139000000.0,9775005000000.0,92755874000000,36915565000000,55840309000000,
넷마블,2015,0,,1072920875965.0,225349703930.0,168637598521.0,1458374902756,277672378788,1180702523968,
넷마블,2016,0,,1500015761165.0,294668353287.0,209247419950.0,1957423028453,647068962395,1310354066058,
넷마블,2017,0,,2424755040569.0,509756227599.0,360883596458.0,5347705409970,882436412276,4465268997694,
넷마블,2018,0,,2021272799024.0,241651480142.0,214932108137.0,5433046593422,881510902397,4551535691025,
넷마블,2019,0,,2178677560442.0,202652419951.0,169769227460.0,5806087951025,1157746996133,4648340954892,
넷마블,2020,0,,2484764985888.0,272046487017.0,338047021964.0,8223428815673,2572832681500,5650596134173,
넷마블,2021,0,,2506906374110.0,151024628649.0,249178251759.0,10663783073696,4656124187351,6007658886345,
넷마블,2022,0,,2673408275832.0,-108688598689.0,-886357560393.0,8935573715860,3313765261202,5621808454658,
넷마블,2023,0,,2502055599771.0,-68468184309.0,-303885236393.0,7915865389294,2836820600756,5079044788538,
넷마블,2024,0,,2663783169910.0,215627215188.0,3216188118.0,8177066253496,2703206043701,5473860209795,
대웅,2013,0,,843315008429.0,97202103636.0,74723608886.0,898471403133,211402934837,687068468296,
대웅,2014,0,,893952806704.0,78669952651.0,37877138316.0,1010731915586,302000173231,708731742355,
대웅,2015,0,,996816139653.0,79718753505.0,54590416385.0,1242301736207,413822364447,828479371760,
대웅,2016,0,,1014965932470.0,60994092023.0,34573861962.0,1467286017881,602653922947,864632094934,
대웅,2022,0,,1697338482580.0,207334242877.0,120268044179.0,2158905107252,879409305644,1279495801608,
대웅,2023,0,,1813841462124.0,195606282852.0,191438974294.0,2359277174097,922478396685,1436798777412,
대웅,2024,0,,1936916852599.0,281913080239.0,68860695957.0,2720693911174,1218198152023,1502495759151,
대한항공,2013,0,,11848707841058.0,-19562089055.0,-383555365584.0,22920438008110,20180224924215,2740213083895,
대한항공,2014,0,,11909748647633.0,395335341945.0,-612921454979.0,23465724376256,21264565746316,2201158629940,
대한항공,2015,0,,11544831301113.0,883088280640.0,-562967287220.0,24180351112715,21681315971433,2499035141282,
대한항공,2016,0,,11731852588629.0,1120809170524.0,-556844430587.0,23956534893851,22082184811883,1874350081968,
대한항공,2017,0,,12092211497503.0,939782249585.0,801897024815.0,24648674122368,20897570964702,3751103157666,
대한항공,2018,0,,13011645223989.0,623919297283.0,-198649078153.0,25574772722452,22679902097615,2894870624837,
대한항공,2019,0,,12683407264566.0,257473678564.0,-622761502186.0,27014118935120,24233326242485,2780792692635,
대한항공,2020,0,,7606224078611.0,108918118710.0,-230018634965.0,25190061074278,21878336959960,3311724114318,
대한항공,2021,0,,9016824640301.0,1417968632826.0,578782033232.0,26671903184202,19806214028703,6865689155499,
대한항공,2022,0,,14096094819146.0,2830586753727.0,1729502852463.0,28997701022484,19705240815659,9292460206825,
대한항공,2023,0,,16111796106147.0,1790089190805.0,1129105735756.0,30391776029656,20576567788023,9815208241633,
대한항공,2024,0,,17870718495804.0,2110200077994.0,1381858075058.0,47012065940089,36048874072912,10963191867177,
두산에너빌리티,2013,0,,19056862946219.0,965544449286.0,18662825931.0,27725480114751,19813685913186,7911794201565,
두산에너빌리티,2014,0,,17971644255839.0,878106773182.0,-85475347180.0,27551906512303,19874904792371,7677001719932,
두산에너빌리티,2015,0,,16204318150763.0,62066145690.0,-1750899329509.0,27260140610258,20234032938126,7026107672132,
두산에너빌리티,2016,0,,13892680512183.0,791172822203.0,-215524785947.0,24832568190355,18009737274319,6822830916036,
두산에너빌리티,2017,0,,14518845928726.0,830232035725.0,-197950236801.0,24929774707934,18452088873921,6477685834013,
두산에너빌리티,2018,0,,14743600024720.0,1000595715833.0,-430071231297.0,24810203016469,18688381801780,6121821214689,
두산에너빌리티,2019,0,,15570428849347.0,918350222787.0,-223649869387.0,24774211975046,18788110053955,5986101921091,
두산에너빌리티,2020,0,,15243824665369.0,409236133151.0,-622554709114.0,25567174291104,18460677610119,7106496680985,
두산에너빌리티,2021,0,,11283610608993.0,877882794101.0,645821146630.0,23720545628641,14912949983920,8807595644721,
두산에너빌리티,2022,0,,15421058082388.0,1106120868237.0,-453149865549.0,23049781799921,12969491516052,10080290283869,
두산에너빌리티,2023,0,,17589887709510.0,1467318338124.0,517521903042.0,24640833945624,13799325009099,10841508936525,
두산에너빌리티,2024,0,,16233055000000.0,1017600000000.0,394689000000.0,26314835000000,14653743000000,11661092000000,
롯데쇼핑,2013,0,,28211702493749.0,1485260918089.0,880634147019.0,38972565738401,22047323324250,16925242414151,
롯데쇼핑,2014,0,,28099567271555.0,1188378783689.0,615724154364.0,40072325738283,22528449105050,17543876633233,
